id,name,star,comment,class,coordinate,address
33,體殼運動防護 - (全預約制工作室),5.0,88,運動按摩治療師,"24.9889954,121.4914699",新北市中和區圓通路367巷10號1樓
34,(Not Open-整修中)新北市中和國民運動中心,4.2,3,綜合運動中心,"24.9925927,121.4870792",新北市中和區錦和路和城路一段350之2號入口：
35,中和運動中心攀岩館,4.0,22,健身室,"24.9929072,121.487098",新北市中和區錦和路350-2號
36,板橋體育館,4.1,836,籃球場,"25.0133194,121.4568661",新北市板橋區中正路8號
37,World Gym世界健身俱樂部 新北北新莊店Sport,4.5,1,健身室,"25.0494318,121.4471942",新北市新莊區幸福路778號B1
38,小一號運動空間,4.9,147,健身室,"24.9819309,121.5417206",新北市新店區北新路三段122號
39,迪卡儂 新北中和店,4.5,5,運動用品店,"25.0027428,121.4988479",新北市中和區中山路二段228號
40,舞動陽光-秀山國小,4.0,150,健身室,"24.9960653,121.5205633",新北市中和區立人街2號
41,喬山健康科技新北中和環球購物 (跑步機、按摩椅),4.5,11,運動用品店,"25.006321,121.475155",新北市中和區中山路三段122號B2F
42,NiceSports好的運動-帕菲克運動基地,4.9,323,主場,"24.990773,121.4903762",新北市中和區錦和路388號2樓
43,弘揚體育,4.4,122,運動用品店,"25.0158453,121.4566057",新北市板橋區中正路147號
44,X-Fbody 24 運動教室〡亞洲旗艦店,4.4,140,健身俱樂部,"24.999299,121.4474526",新北市板橋區合安一路49號
45,Oneway 啟動模式,4.8,526,健身俱樂部,"25.013952,121.4562552",新北市板橋區中正路69號B1
46,喬山健康科技新北中和大潤發,4.9,51,運動用品店,"25.0030314,121.4988184",新北市中和區中山路二段228號B2
47,走吧運動 新莊二館,4.8,371,健身室,"25.0345002,121.4469868",新北市新莊區中正路347巷10號B1
48,比活力Beverly運動俱樂部 城市館,4.4,215,健身俱樂部,"25.0805082,121.480369",新北市蘆洲區中山一路8號6樓
49,World Gym世界健身俱樂部 新北板橋雙十店,4.7,2,健身室,"25.0279702,121.4748239",新北市板橋區雙十路二段143號B1
50,World Gym世界健身俱樂部 新北三重店,4.5,1,健身室,"25.0617709,121.4974781",新北市三重區重新路二段78號
51,TMMA台北格鬥運動館 雙和館,5.0,625,泰拳拳擊館,"25.0015562,121.5103321",新北市中和區中和路356號11樓
52,新運動家體育用品社,4.1,145,運動用品店,"25.0026881,121.472556",新北市中和區莒光路105號
53,Hooah運動 板橋江翠店,5.0,114,健身俱樂部,"25.0308172,121.4766442",新北市板橋區松柏街83號
54,WE CAN FITNESS 健身房,5.0,65,健身俱樂部,"25.0052473,121.4607976",新北市板橋區220後埔街81號
55,萬岳運動用品店 (總店),3.6,361,運動用品店,"25.0190961,121.4655968",新北市板橋區文化路一段152-156號
56,全揚運動用品,4.6,169,桌球用品店,"25.020844,121.466329",新北市板橋區文化路一段333號B1
57,職人治羽運動生活館,4.2,5,運動用品店,"25.012715,121.449605",新北市板橋區大觀路一段28巷119號之3
58,主動皮拉提斯教室,5.0,4,普拉提中心,"25.0101898,121.4602755","樓, No. 3號明德街2巷6弄板橋區新北市220"
59,喬山健康科技新北板橋大遠百,4.9,16,運動用品店,"25.0140651,121.4673332",新北市板橋區新站路28號7F
60,新莊體育館,4.5,554,體育館,"25.0404627,121.4518373",新北市新莊區中華路一段75號
61,新北市休閒運動協會,0,0,俱樂部,"24.995044,121.496842",新北市中和區圓通路162巷7號
